,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
CCDC9,0.098169207,0.663690275,0.017077673,0.949184322,0.136402307,0.531908254,-0.134057047,0.958428254,0.24887207,0.350151392
CRAT,-0.126714236,0.456914665,-0.07462048,0.563272343,-0.164637654,0.369082833,-0.127073918,0.958428254,-0.312977211,0.009977921
IL22RA1,-0.083884832,0.6001621,0.012281237,0.941495244,-0.015485912,0.925929285,-0.126915366,0.958428254,-0.156543733,0.347031166
MYLIP,-0.201994042,0.047334094,-0.054482186,0.758759566,-0.320221742,0.05389104,0.101196373,0.958428254,-1.130441099,7.70E-08
TBC1D9B,0.024582988,0.837906146,-0.116765485,0.537998571,0.090536702,0.717261711,-0.134048971,0.958428254,0.456653382,0.00141974
TMEM60,0.122743555,0.664755563,-0.036640978,0.766958019,-0.048560691,0.801750638,0.131981897,0.958428254,-0.569554391,0.000741102
SWAP70,-0.34201963,0.010284284,-0.251951989,0.04801213,-0.26395577,0.029179742,-0.114316069,0.958541084,0.129391661,0.489911556
REEP1,-0.071120768,0.232175836,0.031670559,0.785360225,-0.072253143,0.822300174,-0.352336131,0.958669739,0.023774838,0.786163259
AU040320,-0.301627438,0.056994188,-0.158829218,0.084738397,-0.024596905,0.94606848,-0.146532707,0.958828856,-0.13707716,0.41050908
ELAVL2,0.047065593,0.766973957,-0.024650046,0.858055233,-0.059484278,0.637055812,-0.22050449,0.958828856,-0.038753326,0.647349676
IMPDH2,-0.085122868,0.814443238,0.249922651,0.019203261,0.322039223,0.075413402,0.143862639,0.958828856,0.571711986,0.008763828
PARD3B,0.008166687,0.901410644,-0.097676195,0.445690995,-0.2209896,0.001606029,-0.077951379,0.959033714,-0.05690344,0.575697629
GAB3,-0.02438657,0.902390476,0.083475656,0.929291625,-0.04713785,0.80815796,0.165985104,0.959464955,-0.192212035,0.130693654
AMT,0.091540689,0.651525319,-0.02888149,0.778589213,-0.099154883,0.766623192,-0.258500576,0.959517497,-0.356899452,0.235731645
ANGEL2,-0.059427377,0.5320052,-0.199491587,0.057101253,-0.192251295,0.138907424,0.108154094,0.959517497,-0.463147406,0.000132808
SCN1A,-0.040016809,0.511684641,-0.036621516,0.891043816,0.029513186,0.894287513,-0.188562866,0.959517497,0.017632799,0.828734708
UGDH,0.208356363,0.319955162,-0.053390943,0.636712462,-0.011170317,0.973638283,0.140428955,0.959517497,-0.044046064,0.820930998
KCTD12B,-0.03172626,0.901522429,-0.262708938,0.261096325,-0.190605016,0.377134194,-0.122970401,0.959522296,-0.602063273,0.008007919
PSMC4,0.022028354,0.959948008,-0.032173625,0.725170286,-0.101225775,0.530661022,0.133438446,0.959522296,0.094176969,0.490493075
PSME4,-0.104855335,0.58617986,-0.131702724,0.458114597,-0.147167884,0.606574319,-0.101821055,0.959522296,0.064337131,0.807760139
RBPMS,0.327861608,0.300802526,0.034601144,0.820691384,0.024752246,0.953663695,0.161015156,0.959522296,-0.002960792,0.986283276
TLR13,-0.051358801,0.836801213,-0.372249881,0.006412807,0.02902034,0.839509879,0.105102566,0.95953569,-0.058433024,0.591134797
3110040N11RIK,-0.026035461,0.901527055,0.072202705,0.57076565,-0.067033058,0.853544309,-0.202845265,0.959596564,0.029895309,0.868602815
ARSB,-0.457659216,0.000354392,0.304199396,0.084978153,-0.117149836,0.274997821,0.099807319,0.959596564,-0.294874426,0.00283429
GMDS,0.03066979,0.756568652,0.200547591,0.152201593,-0.169262926,0.300514365,0.206528598,0.959596564,-0.153232674,0.352603809
HMOX2,-0.197105688,0.249096162,-0.270388885,0.023590137,-0.044124677,0.906595753,-0.140349746,0.959596564,-0.399362048,0.014088212
MPHOSPH10,-0.05218705,0.699554342,0.023538882,0.913009164,0.021816886,0.877596627,0.149802106,0.959596564,0.53897788,0.000715919
MTAP,-0.109626724,0.604184605,0.086744171,0.679205866,-0.129880467,0.516497249,-0.120579168,0.959596564,0.143095548,0.503058626
OLFR745,-0.001550772,0.977782942,-0.002530291,0.984655307,0.003864494,0.970440631,-0.274162208,0.959596564,0.043720897,0.790332558
P4HA2,0.040274859,0.880863867,-0.127201885,0.201933606,0.270487721,0.23468371,-0.258423223,0.959596564,-0.218297594,0.081069829
PCDH1,0.028338639,0.812211486,0.002006593,0.997104955,-0.034242271,0.896438971,0.219723539,0.959596564,-0.144666902,0.24673851
PEX5,0.025032759,0.918634901,-0.037732599,0.859169847,0.05951516,0.793288336,0.165840546,0.959596564,-0.116797003,0.642157564
PHF6,0.055166668,0.693513609,0.010276135,0.97902551,0.028201079,0.941353363,-0.131283437,0.959596564,0.779126064,0.000852079
PNPLA2,-0.052549348,0.788372764,-0.008358696,0.965184095,0.026893445,0.918767882,-0.134851634,0.959596564,0.199779979,0.202001232
PRKCE,-0.007618664,0.951601975,-0.192973942,0.158386258,-0.532358984,0.00294756,-0.091166514,0.959596564,0.130810635,0.533750531
PRPF38B,0.117087224,0.58712371,-0.172007403,0.547553233,-0.084179041,0.71489385,0.113220045,0.959596564,0.14704605,0.188327124
PUM2,-0.059652484,0.879569824,-0.038898454,0.875534981,-0.141826067,0.357983736,0.110945781,0.959596564,0.107109923,0.758109335
PXDN,0.007015377,0.955360206,1.287848874,0.000111807,0.003682176,0.992819173,0.272897926,0.959596564,0.01210521,0.945163258
RBM12,0.079752504,0.845520856,-0.05387315,0.865338178,-0.089503916,0.499303276,-0.16593222,0.959596564,0.834145922,8.95E-06
RGL3,0.011831229,0.930218602,0.007303655,0.986828811,-0.01840275,0.93493887,0.169953636,0.959596564,0.029420175,0.759618974
RMND1,0.171082312,0.182444824,-0.07011103,0.710011072,0.003886207,0.988342187,-0.130491117,0.959596564,-0.927389014,7.67E-06
SH3TC1,-0.041120783,0.776389419,-0.5051751,0.022820499,0.003977412,0.988254176,-0.152397073,0.959596564,-0.031019496,0.834606406
STFA1,-0.004778989,0.954040935,-0.123223478,0.574977809,0.041786611,0.76174425,-0.549624083,0.959596564,0.098101549,0.255017457
STX17,0.09183412,0.308091242,0.062696466,0.790539523,0.128773675,0.52437382,0.116249176,0.959596564,-0.161565205,0.331801072
TIMP3,0.05536529,0.290482321,-0.153216608,0.392823822,0.084045532,0.737647362,0.126063259,0.959596564,-0.010659954,0.966737553
TJP3,0.079033394,0.366195834,0.205851213,0.199436319,-0.021719953,0.935760933,0.384944762,0.959596564,-0.012678305,0.899681091
TRIM38,-0.142349048,0.305415982,0.058571592,0.636045857,0.032062101,0.913903387,-0.562375544,0.959596564,-0.089518071,0.63130187
CD82,-0.21153752,0.227638561,-0.386800446,9.83E-05,-0.071761343,0.751520752,0.126104111,0.959716426,0.260484758,0.066423917
RPH3AL,-0.036339915,0.558439002,0.067820365,0.540126039,-0.022821883,0.924978799,-0.456587373,0.9597316,0.028502786,0.719079747
ARSK,-0.215369498,0.004830637,-0.208944114,0.156510005,-0.16554602,0.436834501,-0.143641296,0.959735037,-0.222589714,0.208383634
FRS3,0.024579832,0.924448327,-0.093042798,0.309641403,-0.078982572,0.770557416,-0.253035541,0.959735037,-0.492698874,0.007651421
1110038F14RIK,-0.171675854,0.5420145,-0.218740559,0.013790971,-0.075611691,0.688271188,-0.172495832,0.959843963,-0.194522244,0.147593709
CACHD1,-0.02573292,0.849223277,-0.039245102,0.96596011,0.082962416,0.585018133,0.291881516,0.959843963,0.012076648,0.945163258
CLSPN,0.065223797,0.447855767,0.038626496,0.716486015,0.238924118,0.008431153,-0.139251526,0.959843963,-0.013446583,0.853853023
CYP51,0.003985581,0.964415099,0.678245205,3.79E-05,0.122519452,0.238417363,0.109310881,0.959843963,0.16872756,0.111254974
OLFR978,0.006856252,0.868678415,0.034407755,0.904687841,0.00170129,0.986999615,0.777398589,0.959843963,-0.01263019,0.869695977
TNFRSF25,-0.016730905,0.757866815,-0.328426552,0.018701459,0.026856592,0.78786295,0.319711431,0.959843963,0.044488706,0.593544188
MAT2A,-0.076088746,0.157743065,-0.207516951,0.058321419,-0.064110969,0.810007993,-0.102472456,0.959875191,1.138405585,2.93E-07
EPB4.1,0.096940312,0.736375341,-0.065229179,0.604738538,-0.080950298,0.693853523,-0.107725595,0.959952105,-0.012660966,0.938835598
MRPL46,0.038358399,0.787274804,-0.064122554,0.546725796,-0.142221447,0.564950275,0.165886983,0.959952105,0.253599553,0.29152338
NNT,0.047677105,0.769012429,-0.127067136,0.470860689,-0.049210695,0.580084258,-0.116800985,0.959952105,0.022106131,0.834373651
PRKAR2A,0.002826558,0.98780018,0.026794422,0.853638463,0.04220068,0.912572213,0.127716838,0.959952105,-0.107920567,0.288942775
RABEP2,-0.022128693,0.907463438,0.093265611,0.422537747,-0.018583765,0.856079243,0.212053717,0.959952105,-0.009994028,0.903826183
SEMA5A,-0.075853234,0.419086705,-0.043766221,0.615038745,-0.134972336,0.457467319,-0.09752259,0.959952105,0.016295264,0.843132983
SH3BP1,-0.070728928,0.282324045,-0.377921403,0.001778469,-0.001278322,0.996789075,-0.133000123,0.959952105,-0.039680517,0.669319631
SLC39A7,-0.126128804,0.628110531,-0.032790572,0.883196361,0.054559228,0.770557416,0.145637048,0.959952105,0.244240905,0.165083237
YIPF7,0.030956605,0.392164209,1.201938941,1.56E-06,-0.00715349,0.92052593,-0.4194674,0.959952105,0.045757748,0.493942098
ZFYVE19,-0.113492497,0.566970464,-0.327343778,0.049591188,0.03533154,0.891802128,0.163377943,0.959952105,0.023896814,0.942590415
CNOT2,-0.053982991,0.513276774,-0.204387161,0.308004894,-0.166240709,0.078809973,-0.105524219,0.960102728,-0.431481303,0.016349439
COL2A1,-0.06949554,0.435540276,0.069534386,0.40391554,0.060192009,0.806367877,-0.285809231,0.960102728,-0.169047322,0.130251733
CTSG,-0.006834575,0.918046957,-0.393529502,0.817398778,-0.017444321,0.811141855,-0.539325233,0.960102728,-0.023181336,0.7483628
RANGAP1,-0.070148064,0.670722559,-0.063447021,0.655983205,0.059112982,0.837627506,0.097900225,0.960102728,0.214940323,0.041077928
TOP2B,-0.017759212,0.868051156,-0.081654006,0.844324273,-0.035985701,0.863469031,0.101818756,0.960102728,-0.36480331,0.004012844
REV3L,0.02143338,0.681877026,0.385405401,0.192266398,-0.003549194,0.992044116,-0.118887183,0.960177727,0.004830586,0.969391011
SCG2,0.005584705,0.918851097,-0.252523855,0.001192778,-0.064239355,0.736575422,-0.17314914,0.960234465,0.05963048,0.680073838
TDRD3,0.018561365,0.917525771,0.13226617,0.391472733,-0.158654054,0.572552106,0.113215186,0.960249541,-0.268236307,0.278517589
PPP1R13B,-0.100719747,0.177463182,0.244739079,0.026417265,-0.120467228,0.606077835,-0.146265845,0.960282644,0.121710845,0.342244689
CCDC86,0.174205462,0.192555422,0.443257592,0.000437152,0.38628906,0.005524758,0.120990639,0.960566656,2.04270656,4.13E-09
D4WSU53E,0.17528359,0.167288569,-0.298093756,0.20383498,-0.081904065,0.802206998,-0.095992092,0.960566656,-1.102179496,0.000190709
KLC1,-0.008419837,0.947502542,0.205106591,0.021597042,-0.165204141,0.412170467,0.126160441,0.960566656,-0.02442432,0.922412186
PGLYRP4,0.022371226,0.745838338,-0.040117814,0.695656249,-0.0322289,0.879429418,0.362184508,0.960694882,0.042021405,0.719578962
SYT17,0.000568007,0.991599813,0.000780909,0.996141932,0.00089485,0.994691684,-0.322261254,0.960694882,0.002109182,0.984717388
SLC35B4,-0.212204786,0.267618032,0.043199175,0.774337392,0.169247935,0.299249028,0.130749495,0.961255417,-0.277498274,0.0136224
MRC1,0.774462788,0.005856589,-0.981602324,0.001414284,0.334425481,0.125066386,-0.195699201,0.961324424,0.091309748,0.679059108
SF3B3,-0.16640389,0.439706919,-0.22923814,0.004733896,0.089829965,0.67200812,0.10904991,0.961324424,0.820910593,1.84E-06
ABCB1A,0.01243546,0.814224967,0.10007637,0.600450946,0.024524622,0.742458923,0.131370049,0.961414234,-0.023990491,0.660823111
KCTD14,0.101268608,0.704888215,-0.826093361,0.012333598,-6.89E-05,0.999919958,0.099334242,0.961414234,-0.191239477,0.552165779
RBL1,0.22480845,0.277805951,-0.087025795,0.727782518,0.251905773,0.126085427,0.120402967,0.961523645,-0.290923858,0.001725199
HFE,-0.217609161,0.198200599,-0.590024149,8.26E-05,-0.060191489,0.850789908,0.143450073,0.961566317,0.299757366,0.059116593
SERPINB3C,0.005248271,0.955238778,0.078654856,0.745258156,-0.009527169,0.926773924,0.466022021,0.961566317,0.012845825,0.884734514
LCE1I,0.041098681,0.561666044,0.018869755,0.876738401,-0.326240076,0.219400414,0.514130363,0.961599248,0.382269902,0.058043186
POLD1,0.051263579,0.777311044,-0.103885363,0.524474421,0.318299787,0.001623339,0.241129759,0.961599248,-0.159796962,0.184463505
SGCE,-0.305566069,0.007246109,-0.250900824,0.079444877,-0.092118294,0.698664556,0.12496061,0.961599248,-0.139583476,0.383111793
UNC45A,-0.019886796,0.866839479,0.135491756,0.280405577,0.093827261,0.618605204,0.20025814,0.961599248,0.168987037,0.282891753
RABEPK,-0.036799407,0.615338221,-0.032150371,0.734507741,0.025970709,0.826489461,0.140181556,0.961646197,-0.03401098,0.756283625
SLC25A44,-0.00190671,0.993109019,1.162915121,5.86E-05,-0.161528133,0.31133778,0.129443763,0.961659834,-0.035729353,0.869539215
KRT9,0.000710628,0.989958789,-0.028580204,0.884456939,0.02542666,0.804245065,0.216089362,0.961771875,0.025875402,0.735814425
LPGAT1,0.081871519,0.855552383,-0.107007795,0.413696734,0.06466424,0.776709611,-0.101529094,0.961771875,-0.24345862,0.300782912
6430573F11RIK,-0.017580245,0.928590076,-0.059637047,0.473027186,0.057505359,0.687878684,0.278784157,0.961939697,-0.018798781,0.936375126
ACTL6B,-0.036298139,0.934590388,0.094153941,0.229752728,-0.029111077,0.87131645,-0.325971156,0.961939697,0.203237763,0.157834954
ASCL2,0.057471483,0.511087648,-0.464932066,0.004605032,-0.102013489,0.708760755,0.401488864,0.961939697,-0.163720108,0.243189465
CMTM8,-0.062683197,0.806877929,-0.350491358,0.002024211,0.044978029,0.848674761,-0.104552107,0.961939697,-0.217925681,0.006969832
DENND1A,-0.016029226,0.84102043,-0.040224556,0.857050203,-0.082892659,0.615620861,0.135395007,0.961939697,-0.077539329,0.494874941
EAPP,-0.045462385,0.769347758,0.00519964,0.97902551,-0.114472181,0.414633677,-0.159959597,0.961939697,-0.015175662,0.95772168
EXOSC7,-0.044856192,0.817860423,0.066128882,0.4714991,-0.078462223,0.732992443,0.180135733,0.961939697,-0.283243751,0.130724485
FN3K,0.032401789,0.70335042,0.245378227,0.019373066,0.014023565,0.95425058,-0.191499341,0.961939697,-0.004565945,0.971580628
GALNT2,-0.341230928,0.085251893,-0.096177106,0.352085455,-0.024080271,0.960916524,-0.150765697,0.961939697,-0.049409291,0.804625045
HOXC10,-0.004486325,0.981152078,-0.006091197,0.96586593,-0.11085074,0.71220699,-0.451447589,0.961939697,-0.212323655,0.295771546
IRGQ,-0.326193212,0.147558485,0.186320105,0.189922422,-0.235029594,0.166447321,-0.089347303,0.961939697,-0.336076271,0.062508148
KCNIP1,0.023900193,0.700949052,0.017937217,0.886627373,-0.136618182,0.395216401,0.345105879,0.961939697,0.035012787,0.774284436
LRRN3,-0.000851931,0.991599813,-0.024673226,0.893043719,0.061483161,0.639029431,-0.218793628,0.961939697,-0.003126777,0.984069466
MED6,0.038247704,0.920395613,-0.063680313,0.71372846,0.084025319,0.707567052,-0.134061291,0.961939697,0.063617957,0.708274253
NIPBL,-0.034853637,0.818344652,0.158264818,0.71372846,-0.069605522,0.712629668,-0.108241738,0.961939697,-0.371854129,0.002030628
NKX2-9,0.005943105,0.932023623,0.090404473,0.336740702,0.099133472,0.569766212,-0.091044019,0.961939697,0.120300537,0.332251658
OLFR1413,-0.072596077,0.392478934,0.079450646,0.488155532,0.096905521,0.741417612,-0.52758081,0.961939697,-0.070831666,0.27139557
RGMA,0.019284204,0.725132109,0.008528091,0.981173815,-0.060315604,0.318441919,0.30214969,0.961939697,0.035687345,0.707248333
SLC25A38,0.167894199,0.46939484,0.023656541,0.830093803,0.113117053,0.650330675,-0.166278143,0.961939697,-0.11648259,0.581191264
TAF4A,-0.04651069,0.784702884,-0.306096686,0.119715937,-0.135237093,0.439577685,0.118770832,0.961939697,0.117358236,0.364942997
TBCD,0.036226218,0.789709815,-0.090559032,0.535080502,0.100205362,0.597972843,0.123639323,0.961939697,-0.046658309,0.722855257
TERF2IP,-0.030909646,0.876614291,-0.073130064,0.701900264,-0.027871167,0.785820072,-0.090767284,0.961939697,-0.032787239,0.574793477
THRA,0.003099518,0.972912241,-0.497365132,0.000125353,0.002813272,0.988342187,-0.173785557,0.961939697,0.09343551,0.127696473
TPM2,-0.042822783,0.464683582,0.179352521,0.153754185,0.074014281,0.710783842,0.250809125,0.961939697,-0.007551281,0.959665906
UNC93B1,-0.117160592,0.491448105,-0.671031968,0.001453339,0.225709408,0.028238488,-0.113649197,0.961939697,-0.340042175,0.030052294
UTRN,0.015709971,0.961715495,-0.13939705,0.435723449,0.096774001,0.767679452,-0.116588213,0.961939697,-0.33727448,0.058844454
ZBTB38,-0.044783829,0.489392366,-0.365023116,0.020718413,-0.282105321,0.011205484,-0.110457876,0.961939697,-0.844898457,0.000148576
BAD,-0.001791844,0.989958789,-0.206293319,0.06538943,0.007548857,0.982302791,-0.183684436,0.962020274,-0.053461675,0.603942091
GNAO1,0.039922395,0.655451588,-0.32231673,0.020718606,-0.276039246,0.19191589,-0.147167089,0.962020274,0.18367685,0.364942997
PTTG1IP,-0.039551168,0.557489684,-0.051506509,0.635050945,-0.110996373,0.045439073,0.125099805,0.962020274,-0.255434523,0.001596428
SAMD4B,-0.210603128,0.194029023,0.710491931,0.00377353,-0.141927395,0.572408708,-0.131722826,0.962020274,0.86642339,0.000201762
CBLB,0.270494071,0.108218776,0.112375592,0.394566937,-0.016539912,0.957211125,-0.096324618,0.962172586,0.000303277,0.99855578
SCD3,-0.030195336,0.399099318,-0.113780667,0.626008703,-0.034652805,0.611606323,0.104893467,0.962172586,0.021082307,0.759611869
RFESD,-0.039412966,0.569358343,0.042663955,0.818567017,-0.073292271,0.693109841,0.191706788,0.962279749,-0.149630125,0.409870371
1110007C09RIK,-0.002732714,0.985681163,-0.304924084,0.123143272,-0.000363244,0.99915233,0.162193183,0.962353107,0.048356515,0.826728638
HSD3B7,-0.156997386,0.054974254,-0.208130018,0.439529186,0.124175202,0.641148469,0.212005027,0.962353107,0.088891153,0.698676412
LMCD1,-0.019247711,0.714553708,0.150126397,0.433980084,-0.027726504,0.804728045,-0.49178859,0.962353107,0.022000594,0.84163815
SLC2A10,-0.074708855,0.320556089,-0.122895863,0.260639078,0.071321381,0.712688691,-0.091083501,0.962461759,-0.040173665,0.587364105
MLPH,0.064778483,0.621348436,-0.378849418,0.005396255,0.126035793,0.569766212,-0.086938167,0.962537332,-0.037463627,0.848821681
CHMP5,-0.045518591,0.762280591,0.05225485,0.732786456,0.053009432,0.80815796,0.11334994,0.962825525,-0.272623683,0.011424959
FBXO45,-6.62E-05,0.99864254,-0.029770581,0.91550063,-0.111853867,0.699262068,-0.135770756,0.962825525,0.856856472,0.002330115
IDI1,0.566771358,0.000766298,1.162453739,1.54E-07,0.095831907,0.615018145,-0.111303453,0.962825525,0.382000454,0.02185947
SDPR,0.07926625,0.510381474,0.049899847,0.867078215,0.011028384,0.910268617,-0.296855897,0.962825525,-0.002165121,0.980232372
TUBA8,0.048785873,0.513243174,-0.198673522,0.333076678,0.13472965,0.160194133,0.348906459,0.962825525,-0.040851905,0.69190828
UCK1,-0.116249979,0.687774909,-0.138549275,0.342515263,0.063358566,0.804728045,-0.190921126,0.962825525,0.520818075,0.00292105
WBSCR16,0.036172276,0.835383345,0.16272464,0.069700116,0.094837651,0.686290527,-0.201241597,0.962862652,0.104244487,0.566575887
KCNA2,0.006013346,0.941852322,0.025836003,0.785360225,-0.096186482,0.50095889,-0.076313016,0.962987137,-0.008206657,0.976722043
TCF12,0.056433775,0.878594177,0.024889681,0.934442888,0.016995378,0.960089328,0.112141,0.962992171,-0.115013469,0.700610083
SPNS1,0.160568529,0.644691095,-0.169254845,0.049040359,0.196829128,0.251666704,0.134645925,0.96309453,-0.18722436,0.607787492
B3GALT1,-0.016279223,0.785676652,0.03139021,0.739091101,0.027262729,0.903585654,0.308238227,0.96310396,0.052429684,0.540877437
